employee_id,first_name,last_name,title,department,birth_date,hire_date,address,city,country,postal_code,phone,email,salary,performance_rating,reports_to
93,Jeff,Mosley,Operations Executive,Operations,1995-08-30,2026-03-09,96565 John Rue,Mumbai,India,11543,589.899.4043,debbie37@example.com,81960,4.87,8.0
94,Victor,Wheeler,Finance Manager,Finance,1973-03-25,2015-08-29,5269 Diaz Springs,Manchester,UK,23146,001-871-809-1043x00684,imiller@example.net,65012,4.44,3.0
95,Christopher,Miller,Software Engineer,IT,1975-12-12,2016-04-11,85691 Hale Stream,London,UK,31779,6314617990,smithderrick@example.org,110888,3.94,7.0
96,Stephanie,Mills,Sales Manager,Sales,1976-09-15,2020-01-01,52410 Roman Groves Apt. 491,Toronto,Canada,65532,385.507.9252x419,williamsmichelle@example.org,85260,4.58,4.0
97,Michael,Mora,Customer Success Manager,Customer Support,1968-09-07,2019-08-01,86353 Moon Island,Chicago,USA,36055,295-818-0238,wileymichelle@example.com,42933,4.49,10.0
98,Angela,Smith,Cloud Engineer,IT,1987-10-31,2013-01-09,9493 Richardson Park,New York,USA,26115,001-883-620-6038x5050,harristonya@example.com,156706,3.43,9.0
99,Teresa,Thomas,Customer Success Manager,Customer Support,1999-01-15,2012-07-29,03865 Villegas Corner Apt. 826,London,UK,10309,001-890-762-3445,shawn31@example.org,67125,2.76,6.0
100,Kayla,Rodriguez,Marketing Executive,Marketing,1974-10-27,2024-10-28,77561 Oconnell Fords,Toronto,Canada,59734,574-711-2490x3521,rpalmer@example.com,93090,3.8,5.0
101,Vicki,Johnson,SEO Specialist,Marketing,1983-04-06,2025-07-04,8831 Garcia Underpass Apt. 100,Vancouver,Canada,29636,(236)351-9941,rachelramos@example.org,83828,3.17,4.0
102,Maria,Rivera,Marketing Executive,Marketing,1971-10-26,2025-12-20,0296 Crawford Light,New York,USA,90051,(625)932-4472x09993,eandrade@example.org,94183,3.66,10.0
103,Patrick,Barnes,Sales Executive,Sales,1971-07-12,2016-04-25,806 Castillo Tunnel,Vancouver,Canada,64028,(698)256-4205x930,xmoreno@example.net,61300,2.95,4.0
104,Craig,Sandoval,HR Manager,Human Resources,1981-05-25,2014-04-09,039 Kelly Villages Apt. 239,Manchester,UK,42182,001-459-905-9929x3784,davisjesse@example.org,84069,4.25,5.0
105,Timothy,Rivera,Financial Analyst,Finance,1966-11-30,2020-07-06,52500 Brenda Divide,Chicago,USA,15039,751.456.9154x52267,jeffrey92@example.com,81635,4.3,8.0
106,Haley,Anderson,Operations Manager,Operations,1986-06-09,2024-01-16,969 Ian Island,Mumbai,India,80635,791.472.5135,underwoodelizabeth@example.net,74371,4.48,2.0
107,Alexander,Clark,SEO Specialist,Marketing,1988-05-28,2019-02-26,4100 Kim Manor,London,UK,22303,(676)258-6179x32710,jose11@example.com,60945,3.27,10.0
108,Eugene,Jones,Data Analyst,IT,1977-02-17,2017-12-11,9970 Dunlap Expressway,Manchester,UK,80103,(320)215-3368x84443,farmstrong@example.org,125771,4.99,9.0
109,Adam,Miller,Operations Manager,Operations,1969-04-07,2017-09-11,10324 Thomas Crescent Suite 677,Manchester,UK,87144,918-962-5652x704,jeremy49@example.org,62754,3.27,4.0
110,Heather,Davis,Accountant,Finance,1975-11-04,2024-05-09,693 Mary Viaduct Suite 879,Chicago,USA,31387,441.460.8989x9217,lindseymartinez@example.com,65670,4.36,3.0
111,Ryan,Osborn,Operations Manager,Operations,1970-11-21,2023-03-06,451 Paul Locks,Bangalore,India,72859,348-370-9986x16229,floydmikayla@example.com,63120,4.31,9.0
112,Patrick,Washington,Support Engineer,Customer Support,1993-07-08,2016-01-19,24629 Williams Isle Apt. 074,London,UK,49317,6549447132,joseph69@example.net,54414,3.07,3.0
113,Scott,Mcintyre,Operations Executive,Operations,1971-08-20,2014-10-02,785 Zachary Estate Apt. 486,London,UK,18280,001-689-702-3303x07053,owagner@example.org,62977,2.61,1.0
114,Nathan,Wheeler,Operations Manager,Operations,1967-08-21,2015-09-03,9855 Mary Green,London,UK,98668,001-614-806-0293x333,hancocktammy@example.net,51723,4.68,10.0
115,Rhonda,Holland,Marketing Manager,Marketing,1966-03-01,2019-08-15,49446 York Mount,Manchester,UK,33530,774.689.6910,gabrielle71@example.com,67328,2.96,1.0
116,Mark,Hill,Sales Representative,Sales,1984-05-16,2022-06-15,28309 Guerrero Springs Apt. 074,Manchester,UK,34504,(466)409-9353x87584,connor24@example.net,66260,3.73,10.0
117,Rita,Arroyo,Finance Manager,Finance,2003-08-07,2024-07-14,135 Julie Inlet Suite 554,Seattle,USA,77252,871-670-9991x7381,jbrown@example.org,89824,2.71,4.0
118,Robert,Hudson,Customer Success Manager,Customer Support,1979-03-10,2017-05-21,52175 Lawrence Centers Apt. 743,Chicago,USA,22600,001-827-912-9666,ismith@example.org,49790,4.44,7.0
119,Patricia,Sherman,Recruiter,Human Resources,1990-12-12,2011-10-18,03354 Curtis Parkway,Vancouver,Canada,77659,721-904-4789x8562,karen26@example.org,73103,3.26,10.0
120,Jessica,Anderson,Operations Executive,Operations,1981-02-06,2015-05-16,821 Dawson Turnpike,Chicago,USA,05398,(848)390-9010x0167,thomas23@example.net,107101,4.41,4.0
121,Robert,Garcia,Financial Analyst,Finance,1966-03-11,2016-09-05,926 William River Apt. 411,London,UK,65740,493.248.3564,slozano@example.com,72782,3.88,3.0
122,Aaron,Powers,SEO Specialist,Marketing,1988-01-21,2015-07-19,721 Jennifer Courts,New York,USA,34041,+1-837-344-7012x0455,yorkpamela@example.org,83916,3.67,1.0
123,Deborah,Murphy,Operations Manager,Operations,1974-12-22,2022-11-03,415 White Locks Suite 746,Chennai,India,90927,462.812.0216x9797,cheryl27@example.com,91070,4.65,2.0
124,Scott,Brown,Support Engineer,Customer Support,1973-03-30,2018-07-21,89935 Ryan Stream Apt. 756,Chennai,India,19985,+1-390-902-8772,john40@example.net,62861,2.79,4.0
125,Dawn,Powell,Support Engineer,Customer Support,1980-09-17,2020-12-02,77971 West Crest,Chennai,India,65692,001-501-966-0880x1994,michael03@example.com,39679,2.65,5.0
126,Katrina,Greene,Sales Executive,Sales,1988-02-24,2021-01-31,711 Aaron Knoll Suite 885,Manchester,UK,92526,502-572-6149,conradphilip@example.com,85133,3.26,7.0
127,Matthew,Sherman,Marketing Executive,Marketing,1978-07-11,2023-10-01,917 Barrett Parkways,Manchester,UK,18148,308.808.6978x2922,william66@example.net,84192,2.6,7.0
128,Raymond,Cooper,Sales Representative,Sales,1982-06-14,2016-03-18,2269 Cameron Plaza Suite 833,Manchester,UK,27988,+1-845-622-8851x587,hstokes@example.org,55002,4.9,10.0
129,Dustin,Santiago,Customer Success Manager,Customer Support,1967-04-12,2018-01-13,2442 Hannah Hill,Chicago,USA,27239,001-280-857-1983x86384,ybutler@example.net,37636,4.41,3.0
130,Brian,Manning,HR Executive,Human Resources,1986-11-01,2020-12-12,735 Kimberly Fields,Vancouver,Canada,39059,621.422.8160x648,brandyscott@example.com,83360,3.59,8.0
131,Sharon,Williams,HR Manager,Human Resources,1997-04-16,2023-08-18,094 Tyler Plaza Suite 158,New York,USA,29331,(381)782-6886,nicolealvarado@example.com,66843,3.3,2.0
132,Jeffery,Goodwin,SEO Specialist,Marketing,1990-02-09,2016-07-20,015 Allen Row Apt. 056,Chennai,India,15361,(548)740-8588x7704,vaughangary@example.net,77471,3.22,7.0
133,Courtney,Clark,Sales Executive,Sales,2001-11-03,2011-09-06,613 Lucas Cliffs,New York,USA,98397,+1-520-675-0110x24819,ohughes@example.com,56541,3.31,7.0
134,Andre,Nunez,Customer Success Manager,Customer Support,1995-01-09,2016-12-09,919 Jaclyn Cliffs,Chicago,USA,47385,514.449.1476x60728,irobles@example.com,62082,2.64,9.0
135,Erica,Sloan,Operations Manager,Operations,1975-05-13,2016-08-17,88210 Ashley Lock Apt. 435,Manchester,UK,28253,(982)322-3943x12908,emily41@example.org,94806,2.63,5.0
136,Michael,Lambert,SEO Specialist,Marketing,1998-09-17,2017-03-08,49135 Hayes Ridges,Chennai,India,86932,892-699-5562x0533,dennis57@example.com,76766,2.8,10.0
137,Kim,Tucker,Recruiter,Human Resources,1995-11-12,2017-08-29,91428 Jose Road,Bangalore,India,10523,001-910-480-9969x3084,philip94@example.org,45896,3.88,2.0
138,William,Sanders,Marketing Executive,Marketing,1997-03-07,2020-01-30,392 Sean Fall,Hyderabad,India,74734,001-627-750-3731,bradclark@example.com,87448,4.58,8.0
139,Samantha,Keith,Marketing Manager,Marketing,1991-12-20,2019-07-19,518 Davenport Greens,Manchester,UK,76343,+1-692-866-5918,zacharygomez@example.com,75947,3.11,9.0
140,Timothy,Munoz,Finance Manager,Finance,1998-09-09,2025-01-15,2318 Lewis Ferry,Mumbai,India,21126,(491)836-5177x739,sanchezdavid@example.net,116616,4.37,3.0
141,Crystal,Williams,Customer Success Manager,Customer Support,1976-07-09,2013-11-06,24286 Natalie Stream,New York,USA,87237,413-679-7723x6929,jennifercooper@example.com,57274,4.84,9.0
142,Nicholas,Anderson,Recruiter,Human Resources,1970-03-30,2015-06-20,88629 Gregory Ridges,London,UK,79119,2888117298,cwood@example.net,64566,4.59,10.0
143,Jerome,Lang,SEO Specialist,Marketing,2001-08-11,2018-11-08,9916 Jonathan Trafficway Apt. 149,Toronto,Canada,71768,(743)300-9818x06356,ronaldrichards@example.com,76741,3.36,9.0
144,Annette,Carr,HR Executive,Human Resources,2002-01-14,2018-10-05,68872 Hansen Orchard Suite 495,Vancouver,Canada,92971,(221)437-2138x6589,aoconnell@example.org,90711,3.1,7.0
145,Sara,Graham,Sales Executive,Sales,1975-06-13,2019-07-31,3519 Jenny Locks,Mumbai,India,80974,+1-284-590-2770x3843,emilyward@example.net,88804,3.68,7.0
146,Christopher,Hill,Marketing Executive,Marketing,1965-07-30,2014-03-27,6693 Jillian Cliff Apt. 848,Toronto,Canada,76907,(854)339-3769x042,gordonmatthew@example.org,53273,3.76,10.0
147,Nancy,Li,Customer Success Manager,Customer Support,2000-06-26,2015-12-10,769 Carrillo Throughway Suite 779,London,UK,04085,614.516.3356x5880,christopher51@example.net,41534,3.81,8.0
148,Lee,Robinson,Accountant,Finance,1977-09-14,2019-08-31,37333 Clark Flats Apt. 952,Chicago,USA,14484,717-990-8075,travis84@example.com,70232,2.69,5.0
149,Barbara,Brown,Operations Executive,Operations,1980-09-02,2024-04-26,8085 Dalton Trail Apt. 718,Manchester,UK,60803,500-636-9155x94284,vmullen@example.com,100821,3.32,9.0
150,Rodney,Barnes,Operations Manager,Operations,1978-01-27,2020-01-16,6472 Tiffany Spur Apt. 143,Vancouver,Canada,73290,(963)622-7026x72885,anna90@example.com,102172,3.85,10.0
151,Frank,Lewis,Operations Manager,Operations,1972-04-17,2023-04-21,1754 Ward Point Suite 506,Seattle,USA,16391,(993)399-8245x587,daustin@example.net,59908,4.37,7.0
